,index,Feature name,Coefficients,p_values,Original feature name,Score - Calculation,Score - Preliminary,Score - Final,Difference
0,0,Intercept,1.5502657077525528,,Intercept,441.6731895295092,442.0,442.0,0.32681047049078416
1,1,grade:A,0.16621661216057979,0.06027188043456073,grade,12.747766248601046,13.0,13.0,0.2522337513989541
2,2,grade:B,0.3179280492823449,8.209008986294489e-08,grade,24.38307701885788,24.0,24.0,-0.3830770188578789
3,3,grade:C,0.3078676060101419,3.4610324525707565e-08,grade,23.611504445429084,24.0,24.0,0.3884955545709161
4,4,grade:D,0.2913731645138159,6.10674424463872e-08,grade,22.346484771022215,22.0,22.0,-0.3464847710222152
5,5,grade:E,0.2418480586112213,5.596991822454216e-07,grade,18.548221376786003,19.0,19.0,0.45177862321399687
6,6,grade:F,0.08787043736814101,0.08066749586423153,grade,6.739108571465982,7.0,7.0,0.26089142853401803
7,7,home_ownership:OWN,0.12317905215301968,9.028613774091298e-10,home_ownership,9.447056724113267,9.0,9.0,-0.447056724113267
8,8,home_ownership:MORTGAGE,0.12259548936725029,1.595368208420885e-22,home_ownership,9.402301137486438,9.0,9.0,-0.4023011374864378
9,9,addr_state:NM_VA,0.012578905681188995,0.6940487158670969,addr_state,0.9647227626807966,1.0,1.0,0.0352772373192034
10,10,addr_state:NY,0.038088569063217725,0.11637091533752494,addr_state,2.9211531197165703,3.0,3.0,0.07884688028342968
11,11,addr_state:OK_TN_MO_LA_MD_NC,0.0669683791158219,0.003915111049194514,addr_state,5.1360524794684626,5.0,5.0,-0.13605247946846255
12,12,addr_state:CA,0.04433366574839023,0.036782266668708145,addr_state,3.4001126635772114,3.0,3.0,-0.4001126635772114
13,13,addr_state:UT_KY_AZ_NJ,0.06835119448640357,0.006150484975367233,addr_state,5.24210570050342,5.0,5.0,-0.24210570050342017
14,14,addr_state:AR_MI_PA_OH_MN,0.13769449005418238,1.0616889874239064e-09,addr_state,10.560299299297881,11.0,11.0,0.43970070070211875
15,15,addr_state:RI_MA_DE_SD_IN,0.10336371270501354,0.000544557437935335,addr_state,7.927345113243526,8.0,8.0,0.07265488675647358
16,16,addr_state:GA_WA_OR,0.18259426223103167,8.773276634322855e-12,addr_state,14.003828756948929,14.0,14.0,-0.003828756948928813
17,17,addr_state:WI_MT,0.2599778306481156,5.9431315436410475e-08,addr_state,19.938660593796847,20.0,20.0,0.061339406203153146
18,18,addr_state:TX,0.21497619929796133,1.454906335618357e-16,addr_state,16.48731917971925,16.0,16.0,-0.48731917971925043
19,19,addr_state:IL_CT,0.2529131291762459,6.157262939091504e-18,addr_state,19.396842529952924,19.0,19.0,-0.3968425299529237
20,20,addr_state:KS_SC_CO_VT_AK_MS,0.3198458982320759,3.8485329834432904e-25,addr_state,24.5301639423218,25.0,25.0,0.4698360576782008
21,21,addr_state:WV_NH_WY_DC_ME_ID,0.5016151978923619,4.577991907919973e-21,addr_state,38.470723271028795,38.0,39.0,-0.4707232710287954
22,22,verification_status:Not Verified,0.13334782702551617,3.9779177017450503e-20,verification_status,10.226937648313552,10.0,10.0,-0.22693764831355168
23,23,verification_status:Source Verified,0.10030537014433749,1.9791781719097336e-14,verification_status,7.692789520003656,8.0,8.0,0.30721047999634443
24,24,purpose:credit_card,0.38176161505398837,1.2652941960309132e-40,purpose,29.278709078097975,29.0,29.0,-0.2787090780979753
25,25,purpose:debt_consolidation,0.2865180025578546,1.4779585635290969e-27,purpose,21.974124458119785,22.0,22.0,0.02587554188021457
26,26,purpose:oth__med__vacation,0.29629013491343636,5.780133290827717e-21,purpose,22.723585401885135,23.0,23.0,0.27641459811486513
27,27,purpose:major_purch__car__home_impr,0.33513163890379316,3.388326411605711e-26,purpose,25.7024838836736,26.0,26.0,0.29751611632639907
28,28,initial_list_status:w,0.2713483965447243,2.7454346384570143e-112,initial_list_status,20.810711312916602,21.0,21.0,0.18928868708339763
29,29,term:36,0.11535150624331157,1.1476380874041418e-16,term,8.846733301200805,9.0,9.0,0.15326669879919486
30,30,emp_length:1,0.0603599334290579,0.020192613688989454,emp_length,4.629226357900918,5.0,5.0,0.37077364209908215
31,31,emp_length:2-4,0.08242646129677852,1.2038616489124582e-05,emp_length,6.321589928060705,6.0,6.0,-0.3215899280607051
32,32,emp_length:5-6,0.025390836506983656,0.23400174679385133,emp_length,1.9473170848577623,2.0,2.0,0.05268291514223766
33,33,emp_length:7-9,0.037303424934710845,0.07236527017394259,emp_length,2.8609375149610248,3.0,3.0,0.13906248503897523
34,34,emp_length:10,0.1171312961256412,1.8761256052300026e-10,emp_length,8.98323196458136,9.0,9.0,0.01676803541863947
35,35,int_rate:<9.548,1.6527276070120833,1.667286677171723e-112,int_rate,126.75378792130424,127.0,127.0,0.24621207869576267
36,36,int_rate:9.548-12.025,1.0018905978749566,3.9864491468939576e-129,int_rate,76.83869248906574,77.0,77.0,0.16130751093426454
37,37,int_rate:12.025-15.74,0.6539703206189845,2.5280969591823743e-80,int_rate,50.155400669095286,50.0,50.0,-0.15540066909528605
38,38,int_rate:15.74-20.281,0.24735459196111842,3.8253701380167725e-18,int_rate,18.97053776906573,19.0,19.0,0.02946223093427136
39,39,inq_last_6mths:0,-1.1507038108844185,4.256209123923901e-41,inq_last_6mths,-88.25172774161435,-88.0,-88.0,0.25172774161434575
40,40,inq_last_6mths:1-2,-1.3193704449996682,2.2172294797216493e-53,inq_last_6mths,-101.18739522810067,-101.0,-101.0,0.18739522810066944
41,41,inq_last_6mths:3-6,-1.472543057218009,1.7561974675260532e-64,inq_last_6mths,-112.93476891636132,-113.0,-113.0,-0.06523108363867891
42,42,pub_rec:3-4,0.44572954891443667,1.2801702843818687e-06,pub_rec,34.184646322632666,34.0,34.0,-0.18464632263266623
43,43,pub_rec:>=5,0.5608385874667166,0.004192005297354656,pub_rec,43.01278388055648,43.0,43.0,-0.012783880556483496
44,44,acc_now_delinq:>=1,0.16624471544546887,0.07387669629718639,acc_now_delinq,12.749921593376317,13.0,13.0,0.2500784066236825
45,45,total_rev_hi_lim:5K-10K,0.08895517683890163,0.0003205476368481044,total_rev_hi_lim,6.822301250188904,7.0,7.0,0.17769874981109623
46,46,total_rev_hi_lim:10K-20K,0.08914832445316977,0.00013623668621856133,total_rev_hi_lim,6.837114454514031,7.0,7.0,0.16288554548596856
47,47,total_rev_hi_lim:20K-30K,0.12327265643189207,9.469150106864294e-07,total_rev_hi_lim,9.454235582179399,9.0,9.0,-0.45423558217939863
48,48,total_rev_hi_lim:30K-40K,0.1587534480302641,1.297848477214589e-08,total_rev_hi_lim,12.175388610941724,12.0,12.0,-0.17538861094172375
49,49,total_rev_hi_lim:40K-55K,0.20823687728083362,5.568007660658327e-12,total_rev_hi_lim,15.97045566871593,16.0,16.0,0.02954433128406997
50,50,total_rev_hi_lim:55K-95K,0.25605318752288264,3.5344484857622116e-14,total_rev_hi_lim,19.63766520880299,20.0,20.0,0.36233479119701073
51,51,total_rev_hi_lim:>95K,0.44538912392809066,4.903810247722975e-16,total_rev_hi_lim,34.15853787237182,34.0,34.0,-0.1585378723718165
